timeReceived,version,timeIssued,type,id,label
1504881934240,1,1504881934236,TASK_START,10000,10000
1504881976309,1,1504881976267,BASELINE_START,20000,20000
1504882156314,1,1504882156270,BASELINE_END,20000,20000
1504882156356,1,1504882156271,BREAK_START,1000,1000
1504882186316,1,1504882186273,BREAK_END,1000,1000
1504882186357,1,1504882186275,TRAINING_START,0,2
1504882216326,1,1504882216283,TRAINING_END,0,2
1504882216367,1,1504882216284,BREAK_START,1001,1001
1504882246331,1,1504882246285,BREAK_END,1001,1001
1504882246373,1,1504882246287,TRAINING_START,1,2
1504882276338,1,1504882276297,TRAINING_END,1,2
1504882276379,1,1504882276298,BREAK_START,1002,1002
1504882306344,1,1504882306299,BREAK_END,1002,1002
1504882306386,1,1504882306300,TRAINING_START,2,2
1504882336353,1,1504882336310,TRAINING_END,2,2
1504882336394,1,1504882336311,BREAK_START,1003,1003
1504882366356,1,1504882366313,BREAK_END,1003,1003
1504882366397,1,1504882366314,TRAINING_START,3,2
1504882396367,1,1504882396323,TRAINING_END,3,2
1504882396409,1,1504882396325,BREAK_START,1004,1004
1504882426370,1,1504882426326,BREAK_END,1004,1004
1504882426412,1,1504882426328,TRAINING_START,4,0
1504882456380,1,1504882456337,TRAINING_END,4,0
1504882456421,1,1504882456338,BREAK_START,1005,1005
1504882486382,1,1504882486339,BREAK_END,1005,1005
1504882486423,1,1504882486341,TRAINING_START,5,0
1504882516393,1,1504882516349,TRAINING_END,5,0
1504882516434,1,1504882516351,BREAK_START,1006,1006
1504882546395,1,1504882546352,BREAK_END,1006,1006
1504882546437,1,1504882546353,TRAINING_START,6,2
1504882576407,1,1504882576363,TRAINING_END,6,2
1504882576449,1,1504882576365,BREAK_START,1007,1007
1504882606411,1,1504882606366,BREAK_END,1007,1007
1504882606453,1,1504882606368,TRAINING_START,7,0
1504882636421,1,1504882636377,TRAINING_END,7,0
1504882636463,1,1504882636379,BREAK_START,1008,1008
1504882666423,1,1504882666380,BREAK_END,1008,1008
1504882666464,1,1504882666381,TRAINING_START,8,2
1504882696435,1,1504882696393,TRAINING_END,8,2
1504882696476,1,1504882696394,BREAK_START,1009,1009
1504882726437,1,1504882726395,BREAK_END,1009,1009
1504882726478,1,1504882726396,TRAINING_START,9,0
1504882756449,1,1504882756405,TRAINING_END,9,0
1504882756491,1,1504882756407,BREAK_START,1010,1010
1504882786453,1,1504882786408,BREAK_END,1010,1010
1504882786495,1,1504882786410,TRAINING_START,10,2
1504882816463,1,1504882816420,TRAINING_END,10,2
1504882816504,1,1504882816421,BREAK_START,1011,1011
1504882846466,1,1504882846422,BREAK_END,1011,1011
1504882846507,1,1504882846424,TRAINING_START,11,2
1504882876477,1,1504882876433,TRAINING_END,11,2
1504882876518,1,1504882876435,BREAK_START,1012,1012
1504882906478,1,1504882906436,BREAK_END,1012,1012
1504882906519,1,1504882906437,TRAINING_START,12,2
1504882936489,1,1504882936445,TRAINING_END,12,2
1504882936531,1,1504882936447,BREAK_START,1013,1013
1504882966493,1,1504882966448,BREAK_END,1013,1013
1504882966534,1,1504882966450,TRAINING_START,13,0
1504882996501,1,1504882996459,TRAINING_END,13,0
1504882996542,1,1504882996460,BREAK_START,1014,1014
1504883026503,1,1504883026461,BREAK_END,1014,1014
1504883026545,1,1504883026462,TRAINING_START,14,2
1504883056515,1,1504883056471,TRAINING_END,14,2
1504883056557,1,1504883056473,BREAK_START,1015,1015
1504883086519,1,1504883086474,BREAK_END,1015,1015
1504883086561,1,1504883086476,TRAINING_START,15,0
1504883116527,1,1504883116485,TRAINING_END,15,0
1504883116568,1,1504883116486,BREAK_START,1016,1016
1504883146531,1,1504883146487,BREAK_END,1016,1016
1504883146572,1,1504883146488,TRAINING_START,16,0
1504883176541,1,1504883176498,TRAINING_END,16,0
1504883176582,1,1504883176499,BREAK_START,1017,1017
1504883206544,1,1504883206500,BREAK_END,1017,1017
1504883206585,1,1504883206501,TRAINING_START,17,0
1504883236552,1,1504883236510,TRAINING_END,17,0
1504883236593,1,1504883236512,BREAK_START,1018,1018
1504883266561,1,1504883266516,BREAK_END,1018,1018
1504883266603,1,1504883266518,TRAINING_START,18,2
1504883296570,1,1504883296527,TRAINING_END,18,2
1504883296611,1,1504883296529,BREAK_START,1019,1019
1504883326573,1,1504883326529,BREAK_END,1019,1019
1504883326614,1,1504883326531,TRAINING_START,19,2
1504883356582,1,1504883356539,TRAINING_END,19,2
1504883356623,1,1504883356541,BREAK_START,1020,1020
