timeReceived,version,timeIssued,type,id,label
1519920154099,1,1519920154096,TASK_START,10000,10000
1519920180031,1,1519920179988,BASELINE_START,20000,20000
1519920360041,1,1519920359994,BASELINE_END,20000,20000
1519920360083,1,1519920359995,BREAK_START,1000,1000
1519920390042,1,1519920389998,BREAK_END,1000,1000
1519920390083,1,1519920389999,TRAINING_START,0,2
1519920420054,1,1519920420011,TRAINING_END,0,2
1519920420096,1,1519920420013,BREAK_START,1001,1001
1519920450057,1,1519920450014,BREAK_END,1001,1001
1519920450098,1,1519920450015,TRAINING_START,1,2
1519920480068,1,1519920480024,TRAINING_END,1,2
1519920480109,1,1519920480026,BREAK_START,1002,1002
1519920510070,1,1519920510027,BREAK_END,1002,1002
1519920510111,1,1519920510028,TRAINING_START,2,2
1519920540081,1,1519920540038,TRAINING_END,2,2
1519920540123,1,1519920540039,BREAK_START,1003,1003
1519920570085,1,1519920570040,BREAK_END,1003,1003
1519920570127,1,1519920570042,TRAINING_START,3,2
1519920600094,1,1519920600052,TRAINING_END,3,2
1519920600135,1,1519920600053,BREAK_START,1004,1004
1519920630103,1,1519920630056,BREAK_END,1004,1004
1519920630145,1,1519920630057,TRAINING_START,4,2
1519920660111,1,1519920660067,TRAINING_END,4,2
1519920660153,1,1519920660069,BREAK_START,1005,1005
1519920690117,1,1519920690073,BREAK_END,1005,1005
1519920690158,1,1519920690075,TRAINING_START,5,0
1519920720128,1,1519920720085,TRAINING_END,5,0
1519920720169,1,1519920720086,BREAK_START,1006,1006
1519920750132,1,1519920750088,BREAK_END,1006,1006
1519920750173,1,1519920750090,TRAINING_START,6,2
1519920780143,1,1519920780100,TRAINING_END,6,2
1519920780184,1,1519920780101,BREAK_START,1007,1007
1519920810147,1,1519920810103,BREAK_END,1007,1007
1519920810189,1,1519920810104,TRAINING_START,7,0
1519920840157,1,1519920840114,TRAINING_END,7,0
1519920840198,1,1519920840116,BREAK_START,1008,1008
1519920870159,1,1519920870117,BREAK_END,1008,1008
1519920870200,1,1519920870118,TRAINING_START,8,0
1519920900174,1,1519920900131,TRAINING_END,8,0
1519920900215,1,1519920900132,BREAK_START,1009,1009
1519920930179,1,1519920930134,BREAK_END,1009,1009
1519920930221,1,1519920930136,TRAINING_START,9,0
