timeReceived,version,timeIssued,type,id,label
1520867101325,1,1520867101321,TASK_START,10000,10000
1520867115096,1,1520867115092,BASELINE_START,20000,20000
1520867295141,1,1520867295096,BASELINE_END,20000,20000
1520867295184,1,1520867295097,BREAK_START,1000,1000
1520867325141,1,1520867325099,BREAK_END,1000,1000
1520867325182,1,1520867325100,TRAINING_START,0,0
1520867355156,1,1520867355113,TRAINING_END,0,0
1520867355197,1,1520867355114,BREAK_START,1001,1001
1520867385160,1,1520867385115,BREAK_END,1001,1001
1520867385202,1,1520867385117,TRAINING_START,1,0
1520867415169,1,1520867415127,TRAINING_END,1,0
1520867415210,1,1520867415128,BREAK_START,1002,1002
1520867445172,1,1520867445129,BREAK_END,1002,1002
1520867445214,1,1520867445130,TRAINING_START,2,2
1520867475181,1,1520867475139,TRAINING_END,2,2
1520867475222,1,1520867475141,BREAK_START,1003,1003
1520867505187,1,1520867505143,BREAK_END,1003,1003
1520867505229,1,1520867505144,TRAINING_START,3,2
1520867535200,1,1520867535155,TRAINING_END,3,2
1520867535241,1,1520867535159,BREAK_START,1004,1004
1520867565203,1,1520867565160,BREAK_END,1004,1004
1520867565244,1,1520867565161,TRAINING_START,4,2
1520867595213,1,1520867595171,TRAINING_END,4,2
1520867595254,1,1520867595173,BREAK_START,1005,1005
1520867625220,1,1520867625176,BREAK_END,1005,1005
1520867625262,1,1520867625177,TRAINING_START,5,0
1520867655228,1,1520867655187,TRAINING_END,5,0
1520867655269,1,1520867655188,BREAK_START,1006,1006
1520867685232,1,1520867685189,BREAK_END,1006,1006
1520867685273,1,1520867685190,TRAINING_START,6,0
1520867715242,1,1520867715200,TRAINING_END,6,0
1520867715283,1,1520867715201,BREAK_START,1007,1007
1520867745243,1,1520867745202,BREAK_END,1007,1007
1520867745284,1,1520867745203,TRAINING_START,7,2
1520867775253,1,1520867775211,TRAINING_END,7,2
1520867775294,1,1520867775212,BREAK_START,1008,1008
1520867805258,1,1520867805215,BREAK_END,1008,1008
1520867805299,1,1520867805216,TRAINING_START,8,0
1520867835267,1,1520867835226,TRAINING_END,8,0
1520867835308,1,1520867835226,BREAK_START,1009,1009
1520867865270,1,1520867865227,BREAK_END,1009,1009
1520867865311,1,1520867865229,TRAINING_START,9,2
1520867895283,1,1520867895238,TRAINING_END,9,2
1520867895325,1,1520867895240,BREAK_START,1010,1010
1520867925288,1,1520867925243,BREAK_END,1010,1010
1520867925330,1,1520867925245,TRAINING_START,10,2
1520867955297,1,1520867955255,TRAINING_END,10,2
1520867955338,1,1520867955255,BREAK_START,1011,1011
1520867985300,1,1520867985258,BREAK_END,1011,1011
1520867985341,1,1520867985259,TRAINING_START,11,2
1520868015312,1,1520868015270,TRAINING_END,11,2
1520868015353,1,1520868015271,BREAK_START,1012,1012
1520868045316,1,1520868045272,BREAK_END,1012,1012
1520868045357,1,1520868045274,TRAINING_START,12,0
1520868075331,1,1520868075289,TRAINING_END,12,0
1520868075372,1,1520868075289,BREAK_START,1013,1013
1520868105334,1,1520868105291,BREAK_END,1013,1013
1520868105375,1,1520868105292,TRAINING_START,13,2
1520868135343,1,1520868135302,TRAINING_END,13,2
1520868135384,1,1520868135303,BREAK_START,1014,1014
1520868165347,1,1520868165304,BREAK_END,1014,1014
1520868165388,1,1520868165305,TRAINING_START,14,2
1520868195357,1,1520868195315,TRAINING_END,14,2
1520868195398,1,1520868195315,BREAK_START,1015,1015
1520868225362,1,1520868225318,BREAK_END,1015,1015
1520868225406,1,1520868225319,TRAINING_START,15,2
1520868255370,1,1520868255329,TRAINING_END,15,2
1520868255411,1,1520868255329,BREAK_START,1016,1016
1520868285375,1,1520868285331,BREAK_END,1016,1016
1520868285417,1,1520868285333,TRAINING_START,16,0
1520868315383,1,1520868315342,TRAINING_END,16,0
1520868315424,1,1520868315343,BREAK_START,1017,1017
1520868345388,1,1520868345344,BREAK_END,1017,1017
1520868345429,1,1520868345345,TRAINING_START,17,0
1520868375398,1,1520868375356,TRAINING_END,17,0
1520868375439,1,1520868375358,BREAK_START,1018,1018
1520868405401,1,1520868405358,BREAK_END,1018,1018
1520868405442,1,1520868405360,TRAINING_START,18,2
1520868435413,1,1520868435370,TRAINING_END,18,2
1520868435454,1,1520868435371,BREAK_START,1019,1019
1520868465414,1,1520868465373,BREAK_END,1019,1019
1520868465455,1,1520868465373,TRAINING_START,19,2
1520868495423,1,1520868495381,TRAINING_END,19,2
1520868495464,1,1520868495382,BREAK_START,1020,1020
1520868525426,1,1520868525384,BREAK_END,1020,1020
1520868525467,1,1520868525385,TRAINING_START,20,0
1520868555437,1,1520868555395,TRAINING_END,20,0
1520868555478,1,1520868555396,BREAK_START,1021,1021
1520868585441,1,1520868585398,BREAK_END,1021,1021
1520868585483,1,1520868585399,TRAINING_START,21,0
1520868615454,1,1520868615411,TRAINING_END,21,0
1520868615495,1,1520868615412,BREAK_START,1022,1022
1520868645458,1,1520868645415,BREAK_END,1022,1022
1520868645499,1,1520868645415,TRAINING_START,22,0
1520868675466,1,1520868675425,TRAINING_END,22,0
1520868675507,1,1520868675426,BREAK_START,1023,1023
1520868705472,1,1520868705427,BREAK_END,1023,1023
1520868705514,1,1520868705428,TRAINING_START,23,0
1520868735481,1,1520868735439,TRAINING_END,23,0
1520868735522,1,1520868735440,BREAK_START,1024,1024
1520868765486,1,1520868765442,BREAK_END,1024,1024
1520868765527,1,1520868765443,TRAINING_START,24,2
1520868795496,1,1520868795453,TRAINING_END,24,2
1520868795537,1,1520868795455,BREAK_START,1025,1025
1520868825500,1,1520868825456,BREAK_END,1025,1025
1520868825542,1,1520868825457,TRAINING_START,25,0
1520868855512,1,1520868855470,TRAINING_END,25,0
1520868855553,1,1520868855471,BREAK_START,1026,1026
1520868885517,1,1520868885472,BREAK_END,1026,1026
1520868885559,1,1520868885473,TRAINING_START,26,0
1520868915525,1,1520868915483,TRAINING_END,26,0
1520868915566,1,1520868915485,BREAK_START,1027,1027
1520868945532,1,1520868945485,BREAK_END,1027,1027
1520868945573,1,1520868945486,TRAINING_START,27,2
1520868975538,1,1520868975496,TRAINING_END,27,2
1520868975579,1,1520868975496,BREAK_START,1028,1028
1520869005540,1,1520869005498,BREAK_END,1028,1028
1520869005581,1,1520869005499,TRAINING_START,28,0
1520869035549,1,1520869035507,TRAINING_END,28,0
1520869035590,1,1520869035509,BREAK_START,1029,1029
1520869065553,1,1520869065509,BREAK_END,1029,1029
1520869065594,1,1520869065510,TRAINING_START,29,2
1520869095564,1,1520869095520,TRAINING_END,29,2
1520869095605,1,1520869095522,TASK_END,10000,10000
1520869095646,1,1520869095523,CONNECTION_CLOSE,30000,30000
