timeReceived,version,timeIssued,type,id,label
1520620649828,1,1520620649825,TASK_START,10000,10000
1520620664458,1,1520620664416,BASELINE_START,20000,20000
1520620844463,1,1520620844420,BASELINE_END,20000,20000
1520620844504,1,1520620844421,BREAK_START,1000,1000
1520620874464,1,1520620874422,BREAK_END,1000,1000
1520620874505,1,1520620874423,TRAINING_START,0,2
1520620904477,1,1520620904433,TRAINING_END,0,2
1520620904519,1,1520620904435,BREAK_START,1001,1001
1520620934479,1,1520620934437,BREAK_END,1001,1001
1520620934520,1,1520620934438,TRAINING_START,1,2
1520620964491,1,1520620964447,TRAINING_END,1,2
1520620964532,1,1520620964448,BREAK_START,1002,1002
1520620994493,1,1520620994449,BREAK_END,1002,1002
1520620994534,1,1520620994451,TRAINING_START,2,0
1520621024504,1,1520621024461,TRAINING_END,2,0
1520621024545,1,1520621024462,BREAK_START,1003,1003
1520621054507,1,1520621054463,BREAK_END,1003,1003
1520621054548,1,1520621054464,TRAINING_START,3,2
1520621084518,1,1520621084476,TRAINING_END,3,2
1520621084560,1,1520621084479,BREAK_START,1004,1004
1520621114525,1,1520621114481,BREAK_END,1004,1004
1520621114566,1,1520621114482,TRAINING_START,4,0
1520621144535,1,1520621144492,TRAINING_END,4,0
1520621144576,1,1520621144494,BREAK_START,1005,1005
1520621174540,1,1520621174496,BREAK_END,1005,1005
1520621174581,1,1520621174497,TRAINING_START,5,0
1520621204549,1,1520621204506,TRAINING_END,5,0
1520621204590,1,1520621204507,BREAK_START,1006,1006
1520621234553,1,1520621234509,BREAK_END,1006,1006
1520621234594,1,1520621234510,TRAINING_START,6,2
1520621264564,1,1520621264521,TRAINING_END,6,2
1520621264605,1,1520621264522,BREAK_START,1007,1007
1520621294567,1,1520621294523,BREAK_END,1007,1007
1520621294608,1,1520621294525,TRAINING_START,7,0
1520621324578,1,1520621324534,TRAINING_END,7,0
1520621324619,1,1520621324535,BREAK_START,1008,1008
1520621354582,1,1520621354537,BREAK_END,1008,1008
1520621354623,1,1520621354540,TRAINING_START,8,2
1520621384594,1,1520621384551,TRAINING_END,8,2
1520621384635,1,1520621384552,BREAK_START,1009,1009
1520621414600,1,1520621414556,BREAK_END,1009,1009
1520621414641,1,1520621414557,TRAINING_START,9,0
1520621444609,1,1520621444566,TRAINING_END,9,0
1520621444650,1,1520621444568,BREAK_START,1010,1010
1520621474613,1,1520621474569,BREAK_END,1010,1010
1520621474654,1,1520621474571,TRAINING_START,10,2
1520621504624,1,1520621504581,TRAINING_END,10,2
1520621504665,1,1520621504582,BREAK_START,1011,1011
1520621534628,1,1520621534584,BREAK_END,1011,1011
1520621534670,1,1520621534586,TRAINING_START,11,0
1520621564640,1,1520621564598,TRAINING_END,11,0
1520621564681,1,1520621564599,BREAK_START,1012,1012
1520621594645,1,1520621594600,BREAK_END,1012,1012
1520621594686,1,1520621594602,TRAINING_START,12,2
1520621624663,1,1520621624618,TRAINING_END,12,2
1520621624704,1,1520621624620,BREAK_START,1013,1013
1520621654666,1,1520621654622,BREAK_END,1013,1013
1520621654707,1,1520621654624,TRAINING_START,13,2
1520621684676,1,1520621684633,TRAINING_END,13,2
1520621684717,1,1520621684635,BREAK_START,1014,1014
1520621714681,1,1520621714637,BREAK_END,1014,1014
1520621714722,1,1520621714638,TRAINING_START,14,0
1520621744691,1,1520621744649,TRAINING_END,14,0
1520621744732,1,1520621744650,BREAK_START,1015,1015
1520621774696,1,1520621774651,BREAK_END,1015,1015
1520621774737,1,1520621774653,TRAINING_START,15,0
1520621804708,1,1520621804663,TRAINING_END,15,0
1520621804749,1,1520621804665,BREAK_START,1016,1016
1520621834709,1,1520621834666,BREAK_END,1016,1016
1520621834750,1,1520621834667,TRAINING_START,16,2
1520621864721,1,1520621864679,TRAINING_END,16,2
1520621864762,1,1520621864680,BREAK_START,1017,1017
1520621894725,1,1520621894682,BREAK_END,1017,1017
1520621894766,1,1520621894683,TRAINING_START,17,2
1520621924741,1,1520621924696,TRAINING_END,17,2
1520621924782,1,1520621924699,BREAK_START,1018,1018
1520621954742,1,1520621954701,BREAK_END,1018,1018
1520621954783,1,1520621954701,TRAINING_START,18,2
1520621984752,1,1520621984710,TRAINING_END,18,2
1520621984793,1,1520621984710,BREAK_START,1019,1019
