timeReceived,version,timeIssued,type,id,label
1506623206326,1,1506623206322,TASK_START,10000,10000
1506623232337,1,1506623232292,BASELINE_START,20000,20000
1506623412341,1,1506623412295,BASELINE_END,20000,20000
1506623412383,1,1506623412296,BREAK_START,1000,1000
1506623442343,1,1506623442298,BREAK_END,1000,1000
1506623442384,1,1506623442300,TRAINING_START,0,0
1506623472354,1,1506623472311,TRAINING_END,0,0
1506623472396,1,1506623472312,BREAK_START,1001,1001
1506623502358,1,1506623502313,BREAK_END,1001,1001
1506623502399,1,1506623502315,TRAINING_START,1,0
1506623532369,1,1506623532325,TRAINING_END,1,0
1506623532411,1,1506623532326,BREAK_START,1002,1002
1506623562370,1,1506623562327,BREAK_END,1002,1002
1506623562410,1,1506623562328,TRAINING_START,2,2
1506623592383,1,1506623592337,TRAINING_END,2,2
1506623592426,1,1506623592339,BREAK_START,1003,1003
1506623622384,1,1506623622341,BREAK_END,1003,1003
1506623622426,1,1506623622342,TRAINING_START,3,2
1506623652394,1,1506623652351,TRAINING_END,3,2
1506623652435,1,1506623652352,BREAK_START,1004,1004
1506623682397,1,1506623682353,BREAK_END,1004,1004
1506623682439,1,1506623682354,TRAINING_START,4,0
1506623712408,1,1506623712365,TRAINING_END,4,0
1506623712448,1,1506623712366,BREAK_START,1005,1005
1506623742412,1,1506623742367,BREAK_END,1005,1005
1506623742453,1,1506623742369,TRAINING_START,5,2
1506623772422,1,1506623772378,TRAINING_END,5,2
1506623772462,1,1506623772380,BREAK_START,1006,1006
1506623802426,1,1506623802382,BREAK_END,1006,1006
1506623802469,1,1506623802384,TRAINING_START,6,0
1506623832436,1,1506623832393,TRAINING_END,6,0
1506623832476,1,1506623832394,BREAK_START,1007,1007
1506623862440,1,1506623862396,BREAK_END,1007,1007
1506623862481,1,1506623862397,TRAINING_START,7,2
1506623892451,1,1506623892407,TRAINING_END,7,2
1506623892492,1,1506623892408,BREAK_START,1008,1008
1506623922453,1,1506623922409,BREAK_END,1008,1008
1506623922494,1,1506623922411,TRAINING_START,8,0
1506623952462,1,1506623952420,TRAINING_END,8,0
1506623952503,1,1506623952421,BREAK_START,1009,1009
1506623982467,1,1506623982422,BREAK_END,1009,1009
1506623982509,1,1506623982423,TRAINING_START,9,2
1506624012473,1,1506624012432,TRAINING_END,9,2
1506624012514,1,1506624012433,BREAK_START,1010,1010
1506624042479,1,1506624042434,BREAK_END,1010,1010
1506624042520,1,1506624042435,TRAINING_START,10,2
1506624072487,1,1506624072444,TRAINING_END,10,2
1506624072528,1,1506624072445,BREAK_START,1011,1011
1506624102490,1,1506624102447,BREAK_END,1011,1011
1506624102531,1,1506624102448,TRAINING_START,11,2
1506624132500,1,1506624132458,TRAINING_END,11,2
1506624132541,1,1506624132459,BREAK_START,1012,1012
1506624162504,1,1506624162460,BREAK_END,1012,1012
1506624162546,1,1506624162462,TRAINING_START,12,0
1506624192515,1,1506624192471,TRAINING_END,12,0
1506624192555,1,1506624192472,BREAK_START,1013,1013
1506624222520,1,1506624222473,BREAK_END,1013,1013
1506624222561,1,1506624222477,TRAINING_START,13,0
1506624252528,1,1506624252486,TRAINING_END,13,0
1506624252569,1,1506624252487,BREAK_START,1014,1014
1506624282533,1,1506624282488,BREAK_END,1014,1014
1506624282576,1,1506624282490,TRAINING_START,14,2
1506624312543,1,1506624312499,TRAINING_END,14,2
1506624312585,1,1506624312500,BREAK_START,1015,1015
1506624342546,1,1506624342501,BREAK_END,1015,1015
1506624342587,1,1506624342503,TRAINING_START,15,0
1506624372556,1,1506624372512,TRAINING_END,15,0
1506624372597,1,1506624372514,BREAK_START,1016,1016
1506624402561,1,1506624402515,BREAK_END,1016,1016
1506624402601,1,1506624402517,TRAINING_START,16,2
1506624432568,1,1506624432525,TRAINING_END,16,2
1506624432609,1,1506624432526,BREAK_START,1017,1017
1506624462572,1,1506624462527,BREAK_END,1017,1017
1506624462613,1,1506624462529,TRAINING_START,17,2
1506624492581,1,1506624492538,TRAINING_END,17,2
1506624492622,1,1506624492539,BREAK_START,1018,1018
1506624522589,1,1506624522544,BREAK_END,1018,1018
1506624522630,1,1506624522545,TRAINING_START,18,0
1506624552596,1,1506624552554,TRAINING_END,18,0
1506624552637,1,1506624552556,BREAK_START,1019,1019
1506624582602,1,1506624582557,BREAK_END,1019,1019
1506624582644,1,1506624582559,TRAINING_START,19,2
1506624612612,1,1506624612568,TRAINING_END,19,2
1506624612655,1,1506624612570,BREAK_START,1020,1020
1506624642616,1,1506624642571,BREAK_END,1020,1020
1506624642657,1,1506624642573,TRAINING_START,20,0
1506624672626,1,1506624672582,TRAINING_END,20,0
1506624672667,1,1506624672584,BREAK_START,1021,1021
1506624702631,1,1506624702586,BREAK_END,1021,1021
1506624702674,1,1506624702587,TRAINING_START,21,2
1506624732639,1,1506624732597,TRAINING_END,21,2
1506624732680,1,1506624732598,BREAK_START,1022,1022
1506624762642,1,1506624762599,BREAK_END,1022,1022
1506624762684,1,1506624762601,TRAINING_START,22,0
1506624792656,1,1506624792610,TRAINING_END,22,0
1506624792698,1,1506624792612,BREAK_START,1023,1023
1506624822659,1,1506624822613,BREAK_END,1023,1023
1506624822701,1,1506624822615,TRAINING_START,23,0
1506624852667,1,1506624852625,TRAINING_END,23,0
1506624852708,1,1506624852626,BREAK_START,1024,1024
1506624882669,1,1506624882626,BREAK_END,1024,1024
1506624882710,1,1506624882628,TRAINING_START,24,2
1506624912680,1,1506624912636,TRAINING_END,24,2
