timeReceived,version,timeIssued,type,id,label
1505240145420,1,1505240145417,TASK_START,10000,10000
1505240170164,1,1505240170121,BASELINE_START,20000,20000
1505240350168,1,1505240350124,BASELINE_END,20000,20000
1505240350210,1,1505240350125,BREAK_START,1000,1000
1505240380172,1,1505240380127,BREAK_END,1000,1000
1505240380214,1,1505240380129,TRAINING_START,0,0
1505240410182,1,1505240410139,TRAINING_END,0,0
1505240410223,1,1505240410140,BREAK_START,1001,1001
1505240440184,1,1505240440141,BREAK_END,1001,1001
1505240440225,1,1505240440142,TRAINING_START,1,2
1505240470195,1,1505240470151,TRAINING_END,1,2
1505240470237,1,1505240470153,BREAK_START,1002,1002
1505240500201,1,1505240500154,BREAK_END,1002,1002
1505240500244,1,1505240500156,TRAINING_START,2,0
1505240530209,1,1505240530165,TRAINING_END,2,0
1505240530250,1,1505240530166,BREAK_START,1003,1003
1505240560213,1,1505240560168,BREAK_END,1003,1003
1505240560256,1,1505240560169,TRAINING_START,3,0
1505240590222,1,1505240590178,TRAINING_END,3,0
1505240590263,1,1505240590179,BREAK_START,1004,1004
1505240620225,1,1505240620181,BREAK_END,1004,1004
1505240620268,1,1505240620184,TRAINING_START,4,2
1505240650236,1,1505240650194,TRAINING_END,4,2
1505240650277,1,1505240650195,BREAK_START,1005,1005
1505240680241,1,1505240680196,BREAK_END,1005,1005
1505240680283,1,1505240680197,TRAINING_START,5,0
1505240710249,1,1505240710206,TRAINING_END,5,0
1505240710290,1,1505240710207,BREAK_START,1006,1006
1505240740252,1,1505240740208,BREAK_END,1006,1006
1505240740294,1,1505240740209,TRAINING_START,6,2
1505240770262,1,1505240770219,TRAINING_END,6,2
1505240770303,1,1505240770220,BREAK_START,1007,1007
1505240800266,1,1505240800221,BREAK_END,1007,1007
1505240800308,1,1505240800223,TRAINING_START,7,0
1505240830278,1,1505240830233,TRAINING_END,7,0
1505240830319,1,1505240830234,BREAK_START,1008,1008
1505240860281,1,1505240860236,BREAK_END,1008,1008
1505240860323,1,1505240860237,TRAINING_START,8,0
1505240890292,1,1505240890249,TRAINING_END,8,0
1505240890333,1,1505240890250,BREAK_START,1009,1009
1505240920296,1,1505240920251,BREAK_END,1009,1009
1505240920338,1,1505240920253,TRAINING_START,9,2
1505240950307,1,1505240950263,TRAINING_END,9,2
1505240950348,1,1505240950264,BREAK_START,1010,1010
1505240980309,1,1505240980265,BREAK_END,1010,1010
1505240980350,1,1505240980267,TRAINING_START,10,2
1505241010321,1,1505241010276,TRAINING_END,10,2
1505241010362,1,1505241010277,BREAK_START,1011,1011
1505241040323,1,1505241040279,BREAK_END,1011,1011
1505241040364,1,1505241040280,TRAINING_START,11,2
1505241070334,1,1505241070290,TRAINING_END,11,2
1505241070375,1,1505241070291,BREAK_START,1012,1012
1505241100336,1,1505241100292,BREAK_END,1012,1012
1505241100378,1,1505241100294,TRAINING_START,12,2
1505241130347,1,1505241130303,TRAINING_END,12,2
1505241130389,1,1505241130305,BREAK_START,1013,1013
1505241160352,1,1505241160308,BREAK_END,1013,1013
1505241160394,1,1505241160309,TRAINING_START,13,0
1505241190362,1,1505241190319,TRAINING_END,13,0
1505241190403,1,1505241190320,BREAK_START,1014,1014
1505241220365,1,1505241220321,BREAK_END,1014,1014
1505241220408,1,1505241220322,TRAINING_START,14,2
1505241250376,1,1505241250332,TRAINING_END,14,2
1505241250418,1,1505241250333,BREAK_START,1015,1015
1505241280380,1,1505241280335,BREAK_END,1015,1015
1505241280422,1,1505241280337,TRAINING_START,15,2
1505241310391,1,1505241310347,TRAINING_END,15,2
1505241310432,1,1505241310349,BREAK_START,1016,1016
1505241340394,1,1505241340350,BREAK_END,1016,1016
1505241340435,1,1505241340351,TRAINING_START,16,0
1505241370403,1,1505241370360,TRAINING_END,16,0
1505241370444,1,1505241370361,BREAK_START,1017,1017
1505241400407,1,1505241400362,BREAK_END,1017,1017
1505241400449,1,1505241400364,TRAINING_START,17,0
1505241430418,1,1505241430373,TRAINING_END,17,0
