timeReceived,version,timeIssued,type,id,label
1519141722860,1,1519141722856,TASK_START,10000,10000
1519141751604,1,1519141751601,BASELINE_START,20000,20000
1519141931647,1,1519141931603,BASELINE_END,20000,20000
1519141931688,1,1519141931604,BREAK_START,1000,1000
1519141961650,1,1519141961606,BREAK_END,1000,1000
1519141961692,1,1519141961607,TRAINING_START,0,2
1519141991661,1,1519141991618,TRAINING_END,0,2
1519141991702,1,1519141991619,BREAK_START,1001,1001
1519142021665,1,1519142021621,BREAK_END,1001,1001
1519142021707,1,1519142021622,TRAINING_START,1,0
1519142051673,1,1519142051631,TRAINING_END,1,0
1519142051714,1,1519142051632,BREAK_START,1002,1002
1519142081676,1,1519142081633,BREAK_END,1002,1002
1519142081717,1,1519142081634,TRAINING_START,2,2
1519142111688,1,1519142111643,TRAINING_END,2,2
1519142111729,1,1519142111645,BREAK_START,1003,1003
1519142141689,1,1519142141646,BREAK_END,1003,1003
1519142141730,1,1519142141647,TRAINING_START,3,2
1519142171700,1,1519142171656,TRAINING_END,3,2
1519142171741,1,1519142171657,BREAK_START,1004,1004
1519142201704,1,1519142201659,BREAK_END,1004,1004
1519142201745,1,1519142201660,TRAINING_START,4,0
1519142231713,1,1519142231670,TRAINING_END,4,0
1519142231754,1,1519142231671,BREAK_START,1005,1005
1519142261717,1,1519142261672,BREAK_END,1005,1005
1519142261758,1,1519142261674,TRAINING_START,5,2
1519142291727,1,1519142291683,TRAINING_END,5,2
1519142291768,1,1519142291684,BREAK_START,1006,1006
1519142321730,1,1519142321685,BREAK_END,1006,1006
1519142321772,1,1519142321687,TRAINING_START,6,0
1519142351739,1,1519142351696,TRAINING_END,6,0
1519142351780,1,1519142351697,BREAK_START,1007,1007
1519142381741,1,1519142381698,BREAK_END,1007,1007
1519142381782,1,1519142381699,TRAINING_START,7,0
1519142411751,1,1519142411708,TRAINING_END,7,0
1519142411792,1,1519142411709,BREAK_START,1008,1008
1519142441757,1,1519142441711,BREAK_END,1008,1008
1519142441799,1,1519142441712,TRAINING_START,8,2
1519142471768,1,1519142471724,TRAINING_END,8,2
1519142471809,1,1519142471725,BREAK_START,1009,1009
1519142501768,1,1519142501726,BREAK_END,1009,1009
1519142501809,1,1519142501727,TRAINING_START,9,2
1519142531778,1,1519142531736,TRAINING_END,9,2
1519142531819,1,1519142531737,BREAK_START,1010,1010
1519142561781,1,1519142561738,BREAK_END,1010,1010
1519142561823,1,1519142561739,TRAINING_START,10,0
1519142591792,1,1519142591748,TRAINING_END,10,0
1519142591833,1,1519142591750,BREAK_START,1011,1011
1519142621796,1,1519142621752,BREAK_END,1011,1011
1519142621837,1,1519142621753,TRAINING_START,11,2
1519142651805,1,1519142651762,TRAINING_END,11,2
1519142651846,1,1519142651763,BREAK_START,1012,1012
1519142681807,1,1519142681764,BREAK_END,1012,1012
1519142681848,1,1519142681765,TRAINING_START,12,2
1519142711817,1,1519142711774,TRAINING_END,12,2
1519142711858,1,1519142711775,BREAK_START,1013,1013
1519142741819,1,1519142741776,BREAK_END,1013,1013
1519142741860,1,1519142741777,TRAINING_START,13,0
1519142771828,1,1519142771786,TRAINING_END,13,0
1519142771869,1,1519142771787,BREAK_START,1014,1014
1519142801833,1,1519142801788,BREAK_END,1014,1014
1519142801874,1,1519142801790,TRAINING_START,14,0
1519142831841,1,1519142831799,TRAINING_END,14,0
1519142831882,1,1519142831800,BREAK_START,1015,1015
1519142861844,1,1519142861801,BREAK_END,1015,1015
1519142861885,1,1519142861802,TRAINING_START,15,2
1519142891855,1,1519142891811,TRAINING_END,15,2
1519142891897,1,1519142891813,BREAK_START,1016,1016
1519142921858,1,1519142921814,BREAK_END,1016,1016
1519142921899,1,1519142921815,TRAINING_START,16,2
1519142951868,1,1519142951824,TRAINING_END,16,2
1519142951910,1,1519142951826,BREAK_START,1017,1017
1519142981870,1,1519142981827,BREAK_END,1017,1017
1519142981911,1,1519142981828,TRAINING_START,17,2
1519143011882,1,1519143011839,TRAINING_END,17,2
1519143011923,1,1519143011841,BREAK_START,1018,1018
1519143041891,1,1519143041847,BREAK_END,1018,1018
1519143041933,1,1519143041848,TRAINING_START,18,2
1519143071901,1,1519143071857,TRAINING_END,18,2
1519143071942,1,1519143071859,BREAK_START,1019,1019
1519143101904,1,1519143101860,BREAK_END,1019,1019
1519143101945,1,1519143101861,TRAINING_START,19,0
1519143131913,1,1519143131870,TRAINING_END,19,0
1519143131955,1,1519143131872,BREAK_START,1020,1020
1519143161918,1,1519143161873,BREAK_END,1020,1020
1519143161959,1,1519143161875,TRAINING_START,20,2
1519143191926,1,1519143191883,TRAINING_END,20,2
