timeReceived,version,timeIssued,type,id,label
1521489480017,1,1521489480014,TASK_START,10000,10000
1521489503206,1,1521489503202,BASELINE_START,20000,20000
1521489683251,1,1521489683206,BASELINE_END,20000,20000
1521489683292,1,1521489683208,BREAK_START,1000,1000
1521489713253,1,1521489713209,BREAK_END,1000,1000
1521489713295,1,1521489713211,TRAINING_START,0,0
1521489743264,1,1521489743222,TRAINING_END,0,0
1521489743305,1,1521489743223,BREAK_START,1001,1001
1521489773270,1,1521489773226,BREAK_END,1001,1001
1521489773312,1,1521489773227,TRAINING_START,1,0
1521489803279,1,1521489803237,TRAINING_END,1,0
1521489803320,1,1521489803239,BREAK_START,1002,1002
1521489833284,1,1521489833241,BREAK_END,1002,1002
1521489833325,1,1521489833242,TRAINING_START,2,0
1521489863294,1,1521489863251,TRAINING_END,2,0
1521489863336,1,1521489863252,BREAK_START,1003,1003
1521489893297,1,1521489893254,BREAK_END,1003,1003
1521489893339,1,1521489893255,TRAINING_START,3,2
1521489923313,1,1521489923266,TRAINING_END,3,2
1521489923355,1,1521489923271,BREAK_START,1004,1004
1521489953317,1,1521489953273,BREAK_END,1004,1004
1521489953358,1,1521489953275,TRAINING_START,4,2
1521489983328,1,1521489983285,TRAINING_END,4,2
1521489983369,1,1521489983287,BREAK_START,1005,1005
1521490013330,1,1521490013288,BREAK_END,1005,1005
1521490013371,1,1521490013289,TRAINING_START,5,0
1521490043342,1,1521490043300,TRAINING_END,5,0
1521490043384,1,1521490043302,BREAK_START,1006,1006
1521490073347,1,1521490073303,BREAK_END,1006,1006
1521490073390,1,1521490073304,TRAINING_START,6,2
1521490103359,1,1521490103317,TRAINING_END,6,2
1521490103401,1,1521490103318,BREAK_START,1007,1007
1521490133364,1,1521490133321,BREAK_END,1007,1007
1521490133406,1,1521490133323,TRAINING_START,7,2
1521490163374,1,1521490163333,TRAINING_END,7,2
1521490163415,1,1521490163334,BREAK_START,1008,1008
1521490193377,1,1521490193335,BREAK_END,1008,1008
1521490193418,1,1521490193337,TRAINING_START,8,2
1521490223389,1,1521490223346,TRAINING_END,8,2
1521490223430,1,1521490223348,BREAK_START,1009,1009
1521490253393,1,1521490253350,BREAK_END,1009,1009
1521490253435,1,1521490253351,TRAINING_START,9,0
1521490283402,1,1521490283361,TRAINING_END,9,0
1521490283443,1,1521490283361,BREAK_START,1010,1010
1521490313406,1,1521490313362,BREAK_END,1010,1010
1521490313448,1,1521490313364,TRAINING_START,10,2
1521490343417,1,1521490343375,TRAINING_END,10,2
1521490343459,1,1521490343377,BREAK_START,1011,1011
1521490373420,1,1521490373377,BREAK_END,1011,1011
1521490373461,1,1521490373379,TRAINING_START,11,2
1521490403431,1,1521490403389,TRAINING_END,11,2
1521490403472,1,1521490403390,BREAK_START,1012,1012
1521490433435,1,1521490433391,BREAK_END,1012,1012
1521490433478,1,1521490433394,TRAINING_START,12,0
1521490463452,1,1521490463410,TRAINING_END,12,0
1521490463493,1,1521490463411,BREAK_START,1013,1013
1521490493454,1,1521490493412,BREAK_END,1013,1013
1521490493495,1,1521490493413,TRAINING_START,13,2
1521490523465,1,1521490523423,TRAINING_END,13,2
1521490523506,1,1521490523424,BREAK_START,1014,1014
1521490553469,1,1521490553426,BREAK_END,1014,1014
1521490553511,1,1521490553426,TRAINING_START,14,0
1521490583478,1,1521490583437,TRAINING_END,14,0
1521490583519,1,1521490583438,BREAK_START,1015,1015
1521490613482,1,1521490613439,BREAK_END,1015,1015
1521490613523,1,1521490613441,TRAINING_START,15,2
1521490643490,1,1521490643449,TRAINING_END,15,2
1521490643531,1,1521490643449,BREAK_START,1016,1016
1521490673495,1,1521490673450,BREAK_END,1016,1016
1521490673536,1,1521490673452,TRAINING_START,16,0
1521490703503,1,1521490703462,TRAINING_END,16,0
1521490703544,1,1521490703462,BREAK_START,1017,1017
1521490733509,1,1521490733464,BREAK_END,1017,1017
1521490733551,1,1521490733466,TRAINING_START,17,0
1521490763519,1,1521490763477,TRAINING_END,17,0
1521490763560,1,1521490763479,BREAK_START,1018,1018
1521490793523,1,1521490793480,BREAK_END,1018,1018
1521490793564,1,1521490793481,TRAINING_START,18,0
1521490823534,1,1521490823492,TRAINING_END,18,0
1521490823576,1,1521490823493,BREAK_START,1019,1019
1521490853536,1,1521490853495,BREAK_END,1019,1019
1521490853577,1,1521490853495,TRAINING_START,19,2
1521490883547,1,1521490883505,TRAINING_END,19,2
1521490883588,1,1521490883506,BREAK_START,1020,1020
1521490913550,1,1521490913507,BREAK_END,1020,1020
1521490913591,1,1521490913509,TRAINING_START,20,2
1521490943561,1,1521490943519,TRAINING_END,20,2
1521490943602,1,1521490943520,BREAK_START,1021,1021
1521490973564,1,1521490973521,BREAK_END,1021,1021
1521490973605,1,1521490973523,TRAINING_START,21,0
1521491003576,1,1521491003536,TRAINING_END,21,0
1521491003617,1,1521491003536,BREAK_START,1022,1022
1521491033580,1,1521491033536,BREAK_END,1022,1022
1521491033621,1,1521491033539,TRAINING_START,22,0
1521491063589,1,1521491063549,TRAINING_END,22,0
1521491063630,1,1521491063549,BREAK_START,1023,1023
1521491093594,1,1521491093550,BREAK_END,1023,1023
1521491093635,1,1521491093552,TRAINING_START,23,0
1521491123602,1,1521491123561,TRAINING_END,23,0
1521491123643,1,1521491123562,BREAK_START,1024,1024
1521491153607,1,1521491153562,BREAK_END,1024,1024
1521491153649,1,1521491153564,TRAINING_START,24,0
1521491183615,1,1521491183574,TRAINING_END,24,0
1521491183656,1,1521491183575,BREAK_START,1025,1025
1521491213617,1,1521491213576,BREAK_END,1025,1025
1521491213658,1,1521491213576,TRAINING_START,25,0
1521491243627,1,1521491243586,TRAINING_END,25,0
1521491243668,1,1521491243587,BREAK_START,1026,1026
1521491273629,1,1521491273588,BREAK_END,1026,1026
1521491273670,1,1521491273589,TRAINING_START,26,2
1521491303641,1,1521491303599,TRAINING_END,26,2
1521491303683,1,1521491303600,BREAK_START,1027,1027
1521491333644,1,1521491333601,BREAK_END,1027,1027
1521491333685,1,1521491333602,TRAINING_START,27,2
1521491363655,1,1521491363613,TRAINING_END,27,2
1521491363696,1,1521491363614,BREAK_START,1028,1028
1521491393657,1,1521491393615,BREAK_END,1028,1028
1521491393698,1,1521491393616,TRAINING_START,28,2
1521491423668,1,1521491423626,TRAINING_END,28,2
1521491423709,1,1521491423626,BREAK_START,1029,1029
1521491453669,1,1521491453628,BREAK_END,1029,1029
1521491453710,1,1521491453629,TRAINING_START,29,2
1521491483679,1,1521491483638,TRAINING_END,29,2
1521491483720,1,1521491483638,TASK_END,10000,10000
1521491483761,1,1521491483638,CONNECTION_CLOSE,30000,30000
