timeReceived,version,timeIssued,type,id,label
1520440138488,1,1520440138485,TASK_START,10000,10000
1520440158811,1,1520440158768,BASELINE_START,20000,20000
1520440338817,1,1520440338772,BASELINE_END,20000,20000
1520440338859,1,1520440338773,BREAK_START,1000,1000
1520440368817,1,1520440368775,BREAK_END,1000,1000
1520440368858,1,1520440368777,TRAINING_START,0,0
1520440398828,1,1520440398787,TRAINING_END,0,0
1520440398869,1,1520440398788,BREAK_START,1001,1001
1520440428833,1,1520440428789,BREAK_END,1001,1001
1520440428874,1,1520440428790,TRAINING_START,1,0
1520440458841,1,1520440458800,TRAINING_END,1,0
1520440458882,1,1520440458801,BREAK_START,1002,1002
1520440488846,1,1520440488802,BREAK_END,1002,1002
1520440488888,1,1520440488803,TRAINING_START,2,2
1520440518853,1,1520440518813,TRAINING_END,2,2
1520440518894,1,1520440518813,BREAK_START,1003,1003
1520440548856,1,1520440548814,BREAK_END,1003,1003
1520440548897,1,1520440548815,TRAINING_START,3,2
1520440578866,1,1520440578823,TRAINING_END,3,2
1520440578907,1,1520440578826,BREAK_START,1004,1004
1520440608873,1,1520440608827,BREAK_END,1004,1004
1520440608915,1,1520440608828,TRAINING_START,4,2
1520440638879,1,1520440638838,TRAINING_END,4,2
1520440638920,1,1520440638839,BREAK_START,1005,1005
1520440668882,1,1520440668840,BREAK_END,1005,1005
1520440668924,1,1520440668841,TRAINING_START,5,2
1520440698891,1,1520440698849,TRAINING_END,5,2
1520440698932,1,1520440698850,BREAK_START,1006,1006
1520440728893,1,1520440728851,BREAK_END,1006,1006
1520440728935,1,1520440728852,TRAINING_START,6,0
1520440758903,1,1520440758861,TRAINING_END,6,0
1520440758944,1,1520440758863,BREAK_START,1007,1007
1520440788907,1,1520440788864,BREAK_END,1007,1007
1520440788949,1,1520440788865,TRAINING_START,7,0
1520440818918,1,1520440818876,TRAINING_END,7,0
1520440818960,1,1520440818877,BREAK_START,1008,1008
1520440848921,1,1520440848878,BREAK_END,1008,1008
1520440848964,1,1520440848880,TRAINING_START,8,2
1520440878933,1,1520440878892,TRAINING_END,8,2
1520440878974,1,1520440878893,BREAK_START,1009,1009
1520440908937,1,1520440908894,BREAK_END,1009,1009
1520440908978,1,1520440908896,TRAINING_START,9,2
1520440938947,1,1520440938904,TRAINING_END,9,2
1520440938988,1,1520440938905,BREAK_START,1010,1010
1520440968950,1,1520440968906,BREAK_END,1010,1010
1520440968991,1,1520440968908,TRAINING_START,10,2
1520440998959,1,1520440998918,TRAINING_END,10,2
1520440999000,1,1520440998919,BREAK_START,1011,1011
1520441028960,1,1520441028920,BREAK_END,1011,1011
1520441029001,1,1520441028920,TRAINING_START,11,0
1520441058973,1,1520441058929,TRAINING_END,11,0
1520441059014,1,1520441058930,BREAK_START,1012,1012
1520441088976,1,1520441088933,BREAK_END,1012,1012
1520441089018,1,1520441088933,TRAINING_START,12,0
1520441118985,1,1520441118943,TRAINING_END,12,0
1520441119026,1,1520441118945,BREAK_START,1013,1013
1520441148989,1,1520441148946,BREAK_END,1013,1013
1520441149030,1,1520441148948,TRAINING_START,13,2
1520441178998,1,1520441178957,TRAINING_END,13,2
1520441179039,1,1520441178957,BREAK_START,1014,1014
1520441209001,1,1520441208959,BREAK_END,1014,1014
1520441209042,1,1520441208959,TRAINING_START,14,2
1520441239010,1,1520441238968,TRAINING_END,14,2
1520441239051,1,1520441238969,BREAK_START,1015,1015
1520441269014,1,1520441268970,BREAK_END,1015,1015
1520441269055,1,1520441268972,TRAINING_START,15,2
1520441299022,1,1520441298980,TRAINING_END,15,2
1520441299063,1,1520441298982,BREAK_START,1016,1016
1520441329026,1,1520441328983,BREAK_END,1016,1016
1520441329068,1,1520441328984,TRAINING_START,16,0
1520441359037,1,1520441358994,TRAINING_END,16,0
1520441359079,1,1520441358996,BREAK_START,1017,1017
1520441389038,1,1520441388996,BREAK_END,1017,1017
1520441389079,1,1520441388998,TRAINING_START,17,2
1520441419051,1,1520441419007,TRAINING_END,17,2
1520441419093,1,1520441419010,BREAK_START,1018,1018
1520441449054,1,1520441449011,BREAK_END,1018,1018
1520441449095,1,1520441449012,TRAINING_START,18,0
1520441479064,1,1520441479022,TRAINING_END,18,0
1520441479105,1,1520441479024,BREAK_START,1019,1019
1520441509067,1,1520441509025,BREAK_END,1019,1019
1520441509108,1,1520441509026,TRAINING_START,19,0
1520441539077,1,1520441539035,TRAINING_END,19,0
1520441539118,1,1520441539036,BREAK_START,1020,1020
1520441569080,1,1520441569038,BREAK_END,1020,1020
1520441569121,1,1520441569038,TRAINING_START,20,0
1520441599091,1,1520441599048,TRAINING_END,20,0
1520441599132,1,1520441599050,BREAK_START,1021,1021
1520441629095,1,1520441629051,BREAK_END,1021,1021
1520441629137,1,1520441629053,TRAINING_START,21,0
1520441659104,1,1520441659062,TRAINING_END,21,0
1520441659145,1,1520441659063,BREAK_START,1022,1022
1520441689109,1,1520441689064,BREAK_END,1022,1022
1520441689151,1,1520441689067,TRAINING_START,22,2
1520441719119,1,1520441719077,TRAINING_END,22,2
1520441719160,1,1520441719079,BREAK_START,1023,1023
1520441749122,1,1520441749079,BREAK_END,1023,1023
1520441749163,1,1520441749080,TRAINING_START,23,2
1520441779132,1,1520441779090,TRAINING_END,23,2
1520441779173,1,1520441779092,BREAK_START,1024,1024
1520441809136,1,1520441809092,BREAK_END,1024,1024
1520441809177,1,1520441809094,TRAINING_START,24,0
1520441839146,1,1520441839105,TRAINING_END,24,0
1520441839187,1,1520441839106,BREAK_START,1025,1025
1520441869152,1,1520441869106,BREAK_END,1025,1025
1520441869194,1,1520441869108,TRAINING_START,25,0
1520441899160,1,1520441899118,TRAINING_END,25,0
1520441899201,1,1520441899119,BREAK_START,1026,1026
1520441929163,1,1520441929120,BREAK_END,1026,1026
1520441929205,1,1520441929122,TRAINING_START,26,0
1520441959175,1,1520441959133,TRAINING_END,26,0
1520441959216,1,1520441959135,BREAK_START,1027,1027
1520441989179,1,1520441989136,BREAK_END,1027,1027
1520441989220,1,1520441989137,TRAINING_START,27,0
1520442019192,1,1520442019148,TRAINING_END,27,0
1520442019233,1,1520442019149,BREAK_START,1028,1028
1520442049194,1,1520442049150,BREAK_END,1028,1028
1520442049236,1,1520442049152,TRAINING_START,28,2
1520442079203,1,1520442079162,TRAINING_END,28,2
1520442079244,1,1520442079162,BREAK_START,1029,1029
1520442109206,1,1520442109163,BREAK_END,1029,1029
1520442109247,1,1520442109165,TRAINING_START,29,2
1520442139219,1,1520442139175,TRAINING_END,29,2
1520442139260,1,1520442139179,TASK_END,10000,10000
1520442139301,1,1520442139180,CONNECTION_CLOSE,30000,30000
