timeReceived,version,timeIssued,type,id,label
1505065607807,1,1505065607803,TASK_START,10000,10000
1505065663679,1,1505065663635,BASELINE_START,20000,20000
1505065843684,1,1505065843639,BASELINE_END,20000,20000
1505065843727,1,1505065843640,BREAK_START,1000,1000
1505065873686,1,1505065873642,BREAK_END,1000,1000
1505065873728,1,1505065873644,TRAINING_START,0,2
1505065903699,1,1505065903654,TRAINING_END,0,2
1505065903741,1,1505065903656,BREAK_START,1001,1001
1505065933703,1,1505065933657,BREAK_END,1001,1001
1505065933746,1,1505065933659,TRAINING_START,1,0
1505065963712,1,1505065963669,TRAINING_END,1,0
1505065963753,1,1505065963670,BREAK_START,1002,1002
1505065993716,1,1505065993672,BREAK_END,1002,1002
1505065993757,1,1505065993673,TRAINING_START,2,0
1505066023726,1,1505066023683,TRAINING_END,2,0
1505066023767,1,1505066023684,BREAK_START,1003,1003
1505066053728,1,1505066053685,BREAK_END,1003,1003
1505066053769,1,1505066053686,TRAINING_START,3,0
1505066083739,1,1505066083695,TRAINING_END,3,0
1505066083781,1,1505066083697,BREAK_START,1004,1004
1505066113742,1,1505066113698,BREAK_END,1004,1004
1505066113784,1,1505066113699,TRAINING_START,4,2
1505066143754,1,1505066143711,TRAINING_END,4,2
1505066143795,1,1505066143712,BREAK_START,1005,1005
1505066173758,1,1505066173713,BREAK_END,1005,1005
1505066173799,1,1505066173715,TRAINING_START,5,0
1505066203767,1,1505066203724,TRAINING_END,5,0
1505066203808,1,1505066203725,BREAK_START,1006,1006
1505066233769,1,1505066233726,BREAK_END,1006,1006
1505066233810,1,1505066233727,TRAINING_START,6,2
1505066263780,1,1505066263735,TRAINING_END,6,2
1505066263821,1,1505066263737,BREAK_START,1007,1007
1505066293787,1,1505066293738,BREAK_END,1007,1007
1505066293829,1,1505066293740,TRAINING_START,7,2
1505066323792,1,1505066323749,TRAINING_END,7,2
1505066323833,1,1505066323750,BREAK_START,1008,1008
1505066353795,1,1505066353751,BREAK_END,1008,1008
1505066353836,1,1505066353752,TRAINING_START,8,0
1505066383810,1,1505066383764,TRAINING_END,8,0
1505066383851,1,1505066383766,BREAK_START,1009,1009
1505066413812,1,1505066413768,BREAK_END,1009,1009
1505066413853,1,1505066413769,TRAINING_START,9,2
1505066443822,1,1505066443778,TRAINING_END,9,2
1505066443863,1,1505066443779,BREAK_START,1010,1010
1505066473827,1,1505066473781,BREAK_END,1010,1010
1505066473868,1,1505066473782,TRAINING_START,10,2
1505066503834,1,1505066503791,TRAINING_END,10,2
1505066503875,1,1505066503792,BREAK_START,1011,1011
1505066533838,1,1505066533793,BREAK_END,1011,1011
1505066533879,1,1505066533795,TRAINING_START,11,2
1505066563846,1,1505066563803,TRAINING_END,11,2
1505066563887,1,1505066563804,BREAK_START,1012,1012
1505066593848,1,1505066593805,BREAK_END,1012,1012
1505066593889,1,1505066593806,TRAINING_START,12,0
1505066623857,1,1505066623814,TRAINING_END,12,0
1505066623898,1,1505066623815,BREAK_START,1013,1013
1505066653861,1,1505066653816,BREAK_END,1013,1013
1505066653902,1,1505066653817,TRAINING_START,13,2
1505066683870,1,1505066683826,TRAINING_END,13,2
1505066683911,1,1505066683828,BREAK_START,1014,1014
1505066713874,1,1505066713829,BREAK_END,1014,1014
1505066713917,1,1505066713831,TRAINING_START,14,2
1505066743884,1,1505066743840,TRAINING_END,14,2
1505066743925,1,1505066743842,BREAK_START,1015,1015
1505066773888,1,1505066773843,BREAK_END,1015,1015
1505066773929,1,1505066773844,TRAINING_START,15,0
1505066803897,1,1505066803853,TRAINING_END,15,0
1505066803938,1,1505066803854,BREAK_START,1016,1016
1505066833900,1,1505066833856,BREAK_END,1016,1016
1505066833941,1,1505066833857,TRAINING_START,16,0
1505066863910,1,1505066863867,TRAINING_END,16,0
1505066863951,1,1505066863868,BREAK_START,1017,1017
1505066893914,1,1505066893869,BREAK_END,1017,1017
1505066893955,1,1505066893871,TRAINING_START,17,2
1505066923924,1,1505066923881,TRAINING_END,17,2
1505066923965,1,1505066923883,BREAK_START,1018,1018
1505066953931,1,1505066953887,BREAK_END,1018,1018
1505066953972,1,1505066953889,TRAINING_START,18,2
1505066983941,1,1505066983898,TRAINING_END,18,2
1505066983982,1,1505066983899,BREAK_START,1019,1019
1505067013946,1,1505067013901,BREAK_END,1019,1019
1505067013987,1,1505067013903,TRAINING_START,19,0
1505067043955,1,1505067043912,TRAINING_END,19,0
1505067043996,1,1505067043913,BREAK_START,1020,1020
1505067073959,1,1505067073915,BREAK_END,1020,1020
1505067074000,1,1505067073916,TRAINING_START,20,0
1505067103969,1,1505067103925,TRAINING_END,20,0
1505067104010,1,1505067103927,BREAK_START,1021,1021
1505067133972,1,1505067133928,BREAK_END,1021,1021
1505067134013,1,1505067133929,TRAINING_START,21,0
1505067163981,1,1505067163939,TRAINING_END,21,0
1505067164022,1,1505067163940,BREAK_START,1022,1022
1505067193987,1,1505067193942,BREAK_END,1022,1022
1505067194029,1,1505067193944,TRAINING_START,22,0
1505067223996,1,1505067223953,TRAINING_END,22,0
1505067224037,1,1505067223954,BREAK_START,1023,1023
1505067254000,1,1505067253956,BREAK_END,1023,1023
1505067254042,1,1505067253957,TRAINING_START,23,2
1505067284009,1,1505067283966,TRAINING_END,23,2
1505067284050,1,1505067283968,BREAK_START,1024,1024
1505067314014,1,1505067313969,BREAK_END,1024,1024
1505067314055,1,1505067313970,TRAINING_START,24,2
1505067344023,1,1505067343979,TRAINING_END,24,2
1505067344065,1,1505067343981,BREAK_START,1025,1025
1505067374028,1,1505067373982,BREAK_END,1025,1025
1505067374070,1,1505067373984,TRAINING_START,25,2
1505067404037,1,1505067403993,TRAINING_END,25,2
1505067404078,1,1505067403994,BREAK_START,1026,1026
1505067434039,1,1505067433996,BREAK_END,1026,1026
